,location,size,total_sqft,bath,price,bhk
220,Sarjapur  Road,3 BHK,1787.0,3.0,125.0,3
221,Koramangala,3 BHK,1475.0,2.0,90.0,3
222,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,75.5,4
223,Sarjapur  Road,2 BHK,984.0,2.0,44.28,2
225,Muthurayya Swamy Layout,3 BHK,2405.0,4.0,260.0,3
226,7th Phase JP Nagar,2 BHK,1080.0,2.0,72.0,2
227,Shantiniketan Layout,2 Bedroom,1500.0,2.0,115.0,2
228,Hebbal,3 BHK,1900.0,3.0,119.0,3
229,Dommasandra,2 BHK,805.0,2.0,22.14,2
230,Budigere,2 BHK,1153.0,2.0,56.4,2
231,Dodda Nekkundi Extension,2 BHK,1148.0,2.0,60.0,2
232,Mylasandra,2 BHK,1110.0,2.0,55.0,2
233,Electronic City,2 BHK,1100.0,2.0,42.0,2
234,Kalyan nagar,2 BHK,1290.0,2.0,110.0,2
235,Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,65.0,3
236,Bank Of Baroda Colony,2 BHK,1080.0,2.0,39.0,2
237,Vijayanagar,3 BHK,1933.0,3.0,129.0,3
238,Ramamurthy Nagar,5 Bedroom,3500.0,5.0,150.0,5
239,Kullappa Colony,2 BHK,1060.0,2.0,60.0,2
240,Chandapura,1 BHK,645.0,1.0,16.45,1
241,Mukkutam Nagar,8 Bedroom,2600.0,8.0,180.0,8
242,Chandapura,1 BHK,645.0,1.0,16.45,1
243,Ashwath Nagar,3 BHK,1644.0,3.0,84.0,3
244,Ncpr Industrial Layout,2 BHK,1285.0,2.0,72.5,2
245,Electronic City,3 Bedroom,1200.0,3.0,90.0,3
246,Electronic City,2 BHK,910.0,2.0,40.0,2
247,Kothanur,3 BHK,1577.0,3.0,70.0,3
248,Meenakunte,3 Bedroom,4050.0,3.0,280.0,3
249,OMBR Layout,3 BHK,2420.0,3.0,185.0,3
250,Chandapura,2 BHK,800.0,1.0,20.0,2
251,Anand Nagar,2 BHK,1060.0,2.0,55.0,2
252,7th Phase JP Nagar,2 BHK,1270.0,2.0,93.0,2
253,Shree Ananth Nagar Layout,2 BHK,900.0,2.0,22.5,2
254,Kundalahalli Colony,2 Bedroom,1280.0,2.0,69.0,2
255,Horamavu Agara,4 Bedroom,1200.0,2.0,95.0,4
256,Sarjapur  Road,2 BHK,1025.0,2.0,36.0,2
257,Electronic City,2 BHK,1108.0,2.0,63.0,2
258,MCECHS  layout,5 Bedroom,1200.0,5.0,170.0,5
259,Coffee Board Layout,3 BHK,3045.0,3.0,170.0,3
260,Ambedkar Nagar,4 Bedroom,2900.0,3.0,300.0,4
261,Vijayanagar,3 BHK,1500.0,3.0,75.5,3
262,Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,43.9,2
263,Budigere,2 BHK,1162.0,2.0,59.9,2
264,Sarjapur  Road,2 BHK,1035.0,2.0,49.2,2
265,Attibele,4 Bedroom,1600.0,4.0,52.8,4
266,KUDLU MAIN ROAD,3 BHK,1464.0,3.0,46.0,3
267,Hennur Road,3 BHK,1866.0,2.0,61.58,3
268,Geleyara Balaga Layout,2 BHK,700.0,1.0,26.0,2
269,Kalena Agrahara,3 BHK,1804.0,3.0,120.0,3
270,Sarjapur,2 BHK,913.0,2.0,32.0,2
271,Talaghattapura,3 BHK,1868.0,3.0,131.0,3
272,Kengeri Satellite Town,2 BHK,883.0,2.0,45.0,2
273,Sundara Nagar,2 Bedroom,900.0,2.0,110.0,2
274,Kogilu,3 BHK,1664.0,2.0,73.95,3
275,Hegde Nagar,3 BHK,2026.0,3.0,132.0,3
276,Balagere,2 BHK,1210.0,2.0,80.9,2
277,Meenakunte,4 Bedroom,4111.0,4.0,250.0,4
278,Kadugodi,3 BHK,1762.0,3.0,91.45,3
279,Jigani,3 BHK,1252.0,3.0,55.0,3
280,Gollarapalya Hosahalli,2 BHK,861.0,2.0,34.5,2
281,7th Phase JP Nagar,3 BHK,1420.0,2.0,100.0,3
282,Srirampura,6 Bedroom,1450.0,6.0,250.0,6
283,Electronics City Phase 1,3 BHK,1490.0,3.0,78.8,3
284,Bisuvanahalli,3 BHK,1075.0,2.0,46.0,3
285,Old Madras Road,3 BHK,1425.0,2.0,94.0,3
286,Kalena Agrahara,2 BHK,1200.0,2.0,40.0,2
287,Kaggadasapura,3 BHK,1280.0,2.0,56.0,3
288,Silver Springs Layout,2 BHK,1084.0,2.0,50.0,2
289,Chandapura,2 BHK,1015.0,2.0,25.88,2
290,Kanakpura Road,2 BHK,1017.0,2.0,51.25,2
291,Haralur Road,2 BHK,1027.0,2.0,44.0,2
292,Electronic City Phase II,2 BHK,1069.0,2.0,45.0,2
293,Hebbal,2 BHK,1349.0,2.0,98.2,2
294,9th Phase JP Nagar,2 BHK,1005.0,2.0,50.0,2
295,Jakkur,2 BHK,1417.0,2.0,75.0,2
296,TC Palaya,3 Bedroom,1475.0,3.0,98.0,3
297,Maruthi Sevanagar,2 BHK,950.0,2.0,47.0,2
298,RMV 2nd Stage,4 BHK,2000.0,4.0,120.0,4
299,Giri Nagar,3 Bedroom,880.0,3.0,140.0,3
300,Sarjapur  Road,4 BHK,1863.0,3.0,104.0,4
301,Singasandra,2 BHK,1010.0,2.0,29.5,2
302,Kalena Agrahara,3 BHK,1425.0,2.0,70.0,3
303,Vijayanagar,3 BHK,1450.0,3.0,100.0,3
304,Kothanur,3 BHK,1847.0,3.0,105.0,3
305,AECS Layout,2 BHK,1100.0,2.0,45.0,2
306,Kanakpura Road,1 BHK,525.0,1.0,26.0,1
307,Mallasandra,3 BHK,1665.0,3.0,95.0,3
308,Begur,4 BHK,1664.0,4.0,65.0,4
309,JP Nagar,3 BHK,1850.0,3.0,150.0,3
310,Panathur,2 BHK,1438.0,2.0,100.0,2
311,Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,115.0,3
312,Yelahanka,2 BHK,1350.0,2.0,55.55,2
313,Kanakpura Road,3 BHK,1550.0,3.0,67.0,3
314,Malleshpalya,2 BHK,1140.0,2.0,46.5,2
315,Srirampura,5 Bedroom,1200.0,5.0,180.0,5
316,Kodathi,2 BHK,850.0,2.0,27.0,2
317,Whitefield,2 BHK,1280.0,2.0,75.0,2
318,Munnekollal,2 BHK,1170.0,2.0,52.0,2
319,Motappa Layout,2 BHK,1113.0,2.0,51.0,2
320,Hennur Road,2 BHK,1385.0,2.0,83.09,2
321,Electronic City,2 BHK,1128.0,2.0,65.0,2
322,Marathahalli,2 Bedroom,1200.0,2.0,128.0,2
323,Akshaya Vana,4 Bedroom,1200.0,4.0,165.0,4
324,Rajaji Nagar,3 BHK,2390.0,3.0,415.0,3
325,Giri Nagar,4 Bedroom,2400.0,4.0,400.0,4
326,Haralur Road,3 BHK,1464.0,3.0,56.0,3
327,Manayata Tech Park,2 BHK,1200.0,2.0,55.0,2
328,Kaval Byrasandra,2 BHK,1200.0,2.0,52.0,2
329,Kaggalipura,3 BHK,1150.0,2.0,55.0,3
330,Basavanna Nagar,3 BHK,1645.0,3.0,95.0,3
331,Sarjapur  Road,2 BHK,1000.0,2.0,67.0,2
332,Haralur Road,4 Bedroom,2650.0,4.0,198.0,4
333,6th Phase JP Nagar,2 BHK,1192.0,2.0,74.0,2
334,Ulsoor,3 BHK,2135.0,3.0,215.0,3
335,Whitefield,2 BHK,1173.0,2.0,58.0,2
336,Uttarahalli,2 BHK,1020.0,2.0,45.0,2
337,Thigalarapalya,4 BHK,3122.0,6.0,230.0,4
338,Somasundara Palya,3 BHK,1600.0,3.0,64.0,3
339,T.C PALYA,2 Bedroom,1200.0,2.0,79.0,2
340,Muneshwara Nagar,2 BHK,1230.0,2.0,48.0,2
341, Devarachikkanahalli,2 BHK,1250.0,2.0,40.0,2
342,Kalena Agrahara,2 BHK,1325.0,2.0,76.0,2
343,7th Phase JP Nagar,3 BHK,1850.0,3.0,150.0,3
345,Basaveshwara Nagar,2 BHK,1200.0,2.0,65.0,2
346,Bull Temple Road,3 Bedroom,1350.0,2.0,140.0,3
347,Bommasandra,3 BHK,1260.0,3.0,49.36,3
348,Prashanth Nagar,3 BHK,1800.0,3.0,150.0,3
349,Suragajakkanahalli,3 Bedroom,11.0,3.0,74.0,3
350,Ardendale,2 BHK,1100.0,2.0,43.25,2
351,Harlur,2 BHK,1508.0,2.0,77.0,2
352,Sampigehalli,3 BHK,1592.0,3.0,75.0,3
353,Akshaya Nagar,2 BHK,1388.0,2.0,57.0,2
354,Electronic City Phase II,1 BHK,630.0,1.0,28.35,1
355,RMV,3 Bedroom,2000.0,3.0,365.0,3
356,Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,125.0,3
357,Bagalur Main Road,2 BHK,950.0,2.0,50.0,2
358,Kodihalli,4 BHK,3252.0,5.0,335.0,4
359,Magadi Road,2 BHK,1116.0,2.0,50.0,2
360,Narayanapura,2 BHK,1308.0,2.0,89.04,2
361,MS Pallya,3 BHK,1200.0,3.0,90.0,3
362,Binny Mills Employees Colony,4 Bedroom,1500.0,4.0,230.0,4
363,Bannerghatta Road,1 BHK,500.0,1.0,18.5,1
364,Hennur,2 BHK,1075.0,2.0,52.0,2
365,Chandapura,1 BHK,530.0,1.0,11.66,1
366,Bellandur,2 BHK,1205.0,2.0,66.0,2
367,5th Phase JP Nagar,2 BHK,1075.0,2.0,60.0,2
368,KR Puram,2 BHK,930.0,2.0,39.0,2
369,Balagere,2 BHK,1380.0,2.0,60.0,2
370,Hebbal,4 BHK,2483.0,5.0,212.0,4
371,Kodigehaali,2 BHK,1166.0,2.0,55.0,2
372,Bannerghatta Road,2 BHK,1050.0,2.0,65.0,2
373,Gopalapura,3 BHK,2023.71,3.0,275.0,3
374,Begur Road,2 BHK,1200.0,2.0,46.8,2
375,Lakshminarayana Pura,3 BHK,1600.0,2.0,108.0,3
376,Billekahalli,3 BHK,1935.0,3.0,110.0,3
377,8th Phase JP Nagar,1 BHK,451.0,1.0,29.9,1
378,Electronic City,3 BHK,1800.0,3.0,95.0,3
379,Jalahalli,3 BHK,1400.0,3.0,77.0,3
380,Hegde Nagar,3 BHK,1801.0,3.0,115.0,3
381,Mahadevpura,2 BHK,1451.0,2.0,90.0,2
382,Anekal,2 Bedroom,1200.0,1.0,36.0,2
383,Begur Road,2 BHK,1160.0,2.0,44.0,2
384,Kengeri,2 BHK,1000.0,2.0,25.0,2
385,Kanakpura Road,2 BHK,950.0,2.0,40.0,2
386,"Hoodi Circle, ",3 BHK,1629.0,3.0,79.0,3
387,Vijayanagar,3 BHK,1580.0,2.0,134.0,3
388,Vijayanagar,3 BHK,1826.0,3.0,121.0,3
389,7th Phase JP Nagar,2 BHK,1245.0,2.0,94.0,2
390,Raja Rajeshwari Nagar,2 BHK,1145.0,2.0,45.79,2
391,Sompura,2 BHK,825.0,2.0,33.0,2
392,Yeshwanthpur,3 BHK,1693.0,3.0,108.0,3
393,Electronics City Phase 1,2 BHK,1113.27,2.0,53.0,2
394,Ashirvad Colony,2 BHK,1460.0,2.0,58.0,2
395,Doddathoguru,2 BHK,1050.0,2.0,32.0,2
396,Dodda Nekkundi,2 BHK,1260.0,2.0,55.0,2
397,K N Extension,6 BHK,700.0,3.0,120.0,6
398,Hosur Road,2 BHK,1656.0,2.0,120.0,2
399,Chandapura,3 BHK,1208.0,3.0,45.0,3
400,Whitefield,3 BHK,1910.0,3.0,161.0,3
401,Whitefield,4 BHK,3252.0,4.0,230.0,4
402,Battarahalli,2 Bedroom,1200.0,2.0,65.0,2
403,Gokula Extension,4 BHK,1200.0,4.0,175.0,4
404,7th Phase JP Nagar,2 BHK,1175.0,2.0,82.0,2
405,Kamakshipalya,2 Bedroom,1000.0,2.0,165.0,2
406,Bannerghatta Road,4 Bedroom,1200.0,2.0,125.0,4
407,Rajaji Nagar,3 BHK,2390.0,3.0,410.0,3
408,Rajaji Nagar,7 BHK,12000.0,6.0,2200.0,7
409,Sultan Palaya,2 Bedroom,550.0,1.0,62.0,2
410,Kengeri,1 BHK,,1.0,18.5,1
411,Sanne Amanikere,2 BHK,1185.0,2.0,38.0,2
412,Kengeri,2 BHK,750.0,2.0,38.0,2
413,Mahalakshmi Layout,6 Bedroom,1200.0,7.0,250.0,6
414,Kanakpura Road,3 BHK,1550.0,3.0,64.5,3
415,Amco Colony,3 BHK,1760.0,3.0,88.0,3
416,Billekahalli,2 BHK,1125.0,2.0,62.0,2
417,Nagarbhavi,3 Bedroom,1350.0,3.0,150.0,3
418,Anandapura,2 Bedroom,1000.0,2.0,55.0,2
419,Bommasandra Industrial Area,2 BHK,1090.0,2.0,31.48,2
420,TC Palaya,2 Bedroom,1200.0,2.0,60.0,2
421,Budigere,3 BHK,1991.0,4.0,103.0,3
422,Bommasandra,2 BHK,1060.0,2.0,26.5,2
423,Ambalipura,2 BHK,1105.0,2.0,75.0,2
424,Hoodi,2 BHK,985.0,2.0,67.0,2
425,Chandapura,6 Bedroom,1533.0,5.0,85.0,6
426,Balagere,3 BHK,1590.0,3.0,79.0,3
427,CV Raman Nagar,2 BHK,1120.0,2.0,55.0,2
428,Samethanahalli,2 BHK,1069.0,2.0,55.0,2
429,Marathahalli,3 BHK,1933.0,3.0,140.0,3
430,Hosur Road,2 BHK,1194.0,2.0,69.0,2
431,Brookefield,2 BHK,1150.0,2.0,69.0,2
432,Yelenahalli,2 BHK,1240.0,2.0,47.12,2
433,Raja Rajeshwari Nagar,2 BHK,1419.0,2.0,48.1,2
434,7th Phase JP Nagar,8 Bedroom,1200.0,8.0,250.0,8
435,Richmond Town,3 BHK,2150.0,4.0,240.0,3
436,Suddaguntepalya,3 BHK,1450.0,3.0,55.0,3
437,Udayapur Village,3 BHK,1630.0,3.0,68.29,3
438,Dasanapura,2 BHK,708.0,1.0,40.0,2
439,Kasavanhalli,3 Bedroom,1000.0,4.0,110.0,3
440,Whitefield,4 Bedroom,11890.0,4.0,700.0,4
441,Bellandur,2 BHK,1250.0,2.0,76.0,2
442,7th Phase JP Nagar,3 BHK,1400.0,2.0,95.0,3
443,Sarjapur  Road,3 BHK,1670.0,2.0,57.0,3
